,SMILES,Assay ID,true,pred,diff
11,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-8.0,-6.738321877030431,-1.2616781229695686
12,"c12c(cccc1OC[C](O)C[NH2+][C](C)C)[nH]cc2	
",CHEMBL905613,-5.49,-5.0361252727543455,-0.4538747272456547
13,"C(=O)(c1cc(Cc2ccccc2)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.64,-3.3334783002597144,-0.30652169974028576
14,"CC(=O)NCc1cccc(c2nc([C]3CCCCN3C(=O)COc3ccccc3)no2)c1	
",CHEMBL3431937,-5.53,-5.478662768364117,-0.05133723163588311
15,"Cc1cc(c2nc([C]3CCCCN3C(=O)COc3ccccc3)on2)no1	
",CHEMBL3431937,-5.41,-5.263964827847043,-0.14603517215295714
16,"Cc1cc(C(=O)Nc2ccc(C(=O)[O-])c(F)c2)cc2c1CCN2S(=O)(=O)c1cc(Cl)ccc1OC	
",CHEMBL3431937,-5.78,-5.794310513609867,0.014310513609866682
17,"COCCN(S(=O)(=O)c1cc(Cl)ccc1OC)c1cc(C(=O)Nc2nc(CC(=O)[O-])cs2)cc2c1OCO2	
",CHEMBL3431937,-5.94,-5.59535655287423,-0.34464344712577066
18,"C(=O)(c1ccc(OCCCCCC)cc1)CC[NH+]1CCCC1	
",CHEMBL1034536,-2.89,-3.2916509449949984,0.4016509449949983
19,"c12C[C](O)[C](O)Cc1cccc2OC[C](O)C[NH2+]C(C)(C)C	
",CHEMBL905613,-5.6,-5.307812923847397,-0.29218707615260264
20,"c1cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc(S(=O)(=O)N2CCCc3c2cc(C(F)(F)F)cc3)c1	
",CHEMBL3431937,-5.44,-5.814202109929594,0.3742021099295938
21,"c1(C(=O)OC)c(C(=O)OC)cccc1	
",CHEMBL905613,-4.18,-4.7040869211609335,0.5240869211609338
22,"c12c(n(C)cn1)c(=O)n(C)c(=O)n2C	
",CHEMBL905613,-4.8,-4.937884013454161,0.13788401345416101
23,"COc1ccc(Cl)cc1S(=O)(=O)N1CCS(=O)c2c1cc(C(=O)Nc1ccc(C(=O)[O-])cc1)cc2	
",CHEMBL3431937,-6.92,-5.798075654538708,-1.1219243454612915
24,"Cn1cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc(NS(=O)(=O)c2cc(Cl)ccc2OC)c1=O	
",CHEMBL3431937,-6.57,-5.93596148313912,-0.6340385168608806
25,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc(Cl)nc3)cs2)cc1	
",CHEMBL3431937,-5.9,-5.224324150749027,-0.6756758492509736
26,"C(=O)(C)Nc1ccc(O)cc1	
",CHEMBL905613,-5.91,-5.034532443618428,-0.8754675563815724
27,"c1(c[nH]cn1)C(=O)N1[C]2[C](CCCC2)OC2=CCC=C[C]2C(=O)N(C)CCCCCCC1	
",Astellas,-4.64,-4.954950270157061,0.3149502701570617
28,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-3.44,-3.494021977050516,0.054021977050516146
29,"c1cc(C(F)(F)F)cc(S(=O)(=O)N2CCCc3c2cc(C(=O)Nc2ccc(C(=O)[O-])c(F)c2)cc3)c1	
",CHEMBL3431937,-5.67,-5.898195576831468,0.2281955768314683
30,"[C]1(C)NC(=O)[C](NC(=O)[C](NC(=O)[C](N(C)C(=O)[C](NC(=O)[C](C)N(C)C1=O)C)C)C)C	
",CHEMBL3430218,-8.0,-5.84538471304987,-2.15461528695013
31,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-3.25,-3.3278491408757764,0.07784914087577643
32,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc(n4cnnn4)cc3)on2)cc1	
",CHEMBL3431937,-5.77,-5.678084579243771,-0.09191542075622827
33,"Cc1cc(C)cc(S(=O)(=O)N2CCc3c2cc(C(=O)Nc2nc(CC(=O)[O-])cs2)cc3)c1	
",CHEMBL3431937,-5.65,-5.639450404671716,-0.010549595328284589
34,"C(=O)(c1c(Br)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-4.1,-3.3267184270418095,-0.7732815729581901
35,"Nc1ccccc1	
",CHEMBL905613,-3.92,-4.30475329265357,0.3847532926535697
36,"C1CC(=O)C=C2CC[C]3[C]([C](O)C[C@@]4(C)[C]3CC[C]4C(=O)CO)[C@@]12C	
",CHEMBL905613,-4.67,-4.753141462476521,0.08314146247652143
37,"CCn1cc(S(=O)(=O)c2cc(Cl)ccc2OC)c2c1ccc(C(=O)Nc1ccc(C(=O)[O-])cc1)c2	
",CHEMBL3431937,-6.17,-5.8936038282057766,-0.2763961717942234
38,"c1cc(NC(=O)c2ccc(Cl)c(NS(=O)(=O)c3cc(Cl)cc(Cl)c3)c2)ccc1C(=O)[O-]	
",CHEMBL3431937,-5.65,-5.68287197124445,0.032871971244449405
39,"c1cc(S(=O)(=O)N2CCOc3c2cc(C(=O)Nc2ccc(C(=O)[O-])c(F)c2)cc3)cc(Cl)c1	
",CHEMBL3431937,-5.66,-5.810504004940942,0.15050400494094163
40,"c1ccc(OCC(=O)N2CCCC[C]2C#Cc2ccc(C(=O)N)cc2)cc1	
",CHEMBL3431937,-5.53,-5.336355362643284,-0.19364463735671666
41,"c1ccc(OCC(=O)N2CCCC[C]2C(=O)N2CCc3ccc(S(=O)(=O)N)cc3C2)cc1	
",CHEMBL3431937,-5.35,-5.464168280589959,0.11416828058995954
42,"N1(C)CCCN(C(=O)[C]2NC(=O)c3c(cccc3)OCCCNC(=O)[C](C[C](C)C)NC(=O)CC2)CC1	
",Astellas,-5.69,-5.406032669545945,-0.28396733045405576
43,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-3.11,-3.463426271972149,0.35342627197214904
44,"c1(C(=O)N2CCCCCN(CC)C(=O)c3c(cccc3)OC[C]2[C](C)C)nc(N)sc1	
",Astellas,-5.27,-4.895716353418463,-0.3742836465815369
45,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3c(Cl)cnc(N)n3)on2)cc1	
",CHEMBL3431937,-5.45,-5.288581626388008,-0.1614183736119923
46,"n1c(N)c(cnc1N)Cc1cc(OC)c(OC)c(OC)c1	
",CHEMBL905613,-5.46,-4.783227347427798,-0.6767726525722022
47,"COc1ccc(Cl)cc1S(=O)(=O)N1COc2c1cc(C(=O)Nc1ccc(CC(=O)[O-])cc1)cc2F	
",CHEMBL3431937,-5.55,-5.711376305536949,0.16137630553694926
48,"c1(C)c(O)ccc(C)c1	
",CHEMBL905613,-3.58,-4.549637742837579,0.9696377428375786
49,"C[N@@H+]1CCN(C(=O)COc2ccccc2)[C](c2[nH]nc(c3cccc(C(F)(F)F)c3)n2)C1	
",CHEMBL3431937,-5.64,-5.225951845776285,-0.4140481542237149
50,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4c(scn4)c3)on2)cc1	
",CHEMBL3431937,-5.62,-5.4114555445285575,-0.20854445547144262
51,"CC1(C)c2ccc(C(=O)Nc3ccc(CC(=O)[O-])c(Cl)c3)cc2N(Cc2cc(Cl)ccc2OC)C(=O)O1	
",CHEMBL3431937,-5.87,-5.758416161871945,-0.11158383812805539
52,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-2.69,-3.142626944897642,0.4526269448976419
53,"c1cc(S(=O)(=O)n2ccc3c2cc(C(=O)Nc2ccc(CC(=O)[O-])cc2)cc3)cc(Cl)c1	
",CHEMBL3431937,-5.65,-5.959955851200114,0.3099558512001135
54,"N1[C](C(=O)N[C]([C](O)C)C(=O)N[C](C(=O)N[C](C(=O)N[C](C(=O)N[C](C(=O)N[C](Cc2ccc3c(cccc3)c2)C(=O)N[C](C(=O)N[C](C(=O)N[C](CCCC)C(=O)N[C](C1=O)CCC(=O)N)Cc1ccc(F)cc1)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)C)Cc1c[nH]c2c1cccc2	
",Enamine,-7.2,-9.805237527337868,2.6052375273378674
55,"C1NC(=O)[C](NC(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-8.0,-6.738321877030431,-1.2616781229695686
56,"COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c1cc(C(=O)Nc1ccc(C(=O)[O-])cc1)cn2	
",CHEMBL3431937,-6.13,-5.757800743196369,-0.372199256803631
57,"n1(C)c2c([nH]cn2)c(=O)n(C)c1=O	
",CHEMBL905613,-5.4,-5.016320889232901,-0.3836791107670994
58,"COc1ccc(Cl)cc1S(=O)(=O)N1CCNc2c1cc(C(=O)Nc1ccc(C(=O)[O-])cc1)cc2	
",CHEMBL3431937,-6.09,-5.843160284841207,-0.2468397151587931
59,"Cc1cc(C)cc(S(=O)(=O)N2CCS(=O)(=O)c3c2cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc3)c1	
",CHEMBL3431937,-5.71,-5.736115042633459,0.026115042633459318
60,"n1c(nc(N[C](C)C)nc1NCC)Cl	
",CHEMBL905613,-4.4,-4.81491466834021,0.4149146683402094
61,"COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c1cc(C(=O)Nc1ccc(CCC(=O)[O-])cc1)cc2	
",CHEMBL3431937,-5.48,-5.69695993801765,0.21695993801764946
62,"COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c1cc(C(=O)Nc1ncc(CC(=O)[O-])s1)cc2Cl	
",CHEMBL3431937,-5.51,-5.633904041701662,0.12390404170166214
63,"C1N(C(=O)c2ccc3c(Cc4cc(ccc4)CN(C[C]4CC4)CCCCCO3)c2)CCOC1	
",Astellas,-4.6,-4.614224654952884,0.014224654952884386
64,"COc1ccc(Cl)cc1S(=O)(=O)N1COc2c1cc(C(=O)Nc1ccn(CC(=O)[O-])n1)cc2	
",CHEMBL3431937,-7.52,-5.790031998273266,-1.7299680017267338
65,"C1N(C)C(=O)[C](N(C)C(=O)[C](NC(=O)[C]2CCCN2C(=O)[C](NC(=O)[C](Cc2ccccc2)NC1=O)C[C](C)C)Cc1ccc(O)cc1)C	
",CHEMBL3430218,-7.16,-6.549434384649199,-0.6105656153508008
66,"N(CCCC)C(=O)Nc1ccc(C(=O)CC[NH+](C)C)cc1	
",CHEMBL1034536,-5.0,-3.936219088069297,-1.063780911930703
67,"c1ccc(c2cc([C]3CCCCN3C(=O)COc3ccccc3)[nH]n2)cc1	
",CHEMBL3431937,-6.28,-5.256987781391878,-1.0230122186081223
68,"C(=O)(c1cc2c(cc(OCCCCCC)cc2)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.85,-3.412702032717953,0.562702032717953
69,"c12C[C](O)[C](O)Cc1cccc2OC[C](O)C[NH2+]C(C)(C)C	
",CHEMBL905613,-4.49,-5.307812923847397,0.8178129238473968
70,"COc1ccc(Cl)cc1S(=O)(=O)Nc1cc(C(=O)Nc2ccccc2)ccc1CCC(=O)[O-]	
",CHEMBL3431937,-5.62,-5.694255904839551,0.0742559048395508
71,"C(=O)(c1c(OCCCCCC)cc(C)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.96,-3.1144926589013338,0.1544926589013338
72,"Clc1ccc(cc1)N	
",CHEMBL905613,-3.59,-4.438811888172483,0.8488118881724835
73,"CC1(C)c2ccc(C(=O)Nc3ccc(C(=O)[O-])c(Cl)c3)cc2N(Cc2cc(Cl)ccc2OC)C(=O)O1	
",CHEMBL3431937,-5.96,-5.76421237528553,-0.19578762471446964
74,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cc4c(nc3)[nH]cn4)on2)cc1	
",CHEMBL3431937,-5.45,-5.634148875337406,0.18414887533740565
75,"COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2c1cc(C(=O)Nc1ccn(CC(=O)[O-])n1)cc2Cl	
",CHEMBL3431937,-7.52,-5.723191654006084,-1.7968083459939157
76,"COc1ccc(Cl)cc1S(=O)(=O)Nc1cc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc(OC)c1OC	
",CHEMBL3431937,-5.8,-5.62236986614844,-0.1776301338515598
77,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(C(=O)N3CCOCC3)on2)cc1	
",CHEMBL3431937,-5.09,-5.031700167085411,-0.058299832914588734
78,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3cccc(C(=O)[O-])c3)cs2)cc1	
",CHEMBL3431937,-5.3,-5.561378231215497,0.2613782312154971
79,"n1cnn(c1)CC(=O)N1CCC2(CC1)C(=O)N(C)CCOc1c(CCCCC2)cccc1	
",Astellas,-4.63,-5.10315269383987,0.4731526938398698
80,"[C]1(Cc2ccccc2)C(=O)NCC(=O)N[C](C[C](C)C)C(=O)N[C](C)C(=O)N[C](Cc2ccc(O)cc2)C(=O)N[C](CC(=O)N)C(=O)N1	
",CHEMBL3430218,-8.0,-7.023177021474042,-0.9768229785259583
81,"c1ccc(OCC(=O)N2CCCC[C]2C(=O)N2Cc3cc(N4CCOCC4)c(Cl)cc3C2)cc1	
",CHEMBL3431937,-5.23,-5.060696122014164,-0.16930387798583624
82,"NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	
",CHEMBL905613,-6.57,-5.108535050836941,-1.4614649491630596
83,"c1ccc(OCC(=O)N2CCCC[C]2c2[nH]nc(c3cccc(N)c3)n2)cc1	
",CHEMBL3431937,-5.27,-5.352501430270365,0.08250143027036572
84,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4c([nH]c(=O)c(=O)[nH]4)c3)on2)cc1	
",CHEMBL3431937,-6.33,-5.868016929868946,-0.4619830701310539
85,"c12c3c4ccc1cccc2ccc3ccc4	
",CHEMBL905613,-5.21,-4.602762077811168,-0.6072379221888315
86,"c1c(C[C](C(=O)N[C](Cc2ccccc2)C(=O)N)NC(=O)C)ccc(O)c1	
",CHEMBL905612,-6.92,-5.85974574054787,-1.0602542594521296
87,"c1cc2c(N(S(=O)(=O)c3cc(Cl)cc(Cl)c3)CC2)cc1C(=O)Nc1ccc(C(=O)[O-])c(Cl)c1	
",CHEMBL3431937,-5.72,-5.7413159348217,0.021315934821700466
88,"COc1ccc(Cl)cc1Cc1c[nH]c2c1cc(C(=O)Nc1nc(CC(=O)[O-])cs1)cc2	
",CHEMBL3431937,-6.31,-5.893616655539572,-0.4163833444604279
89,"c1(C(=O)OC)c(C(=O)OC)cccc1	
",CHEMBL905613,-3.8,-4.7040869211609335,0.9040869211609337
90,"c1ccc(OCC(=O)N2CCCC[C]2c2nc(c3ccc4c(NC(=O)CO4)c3)no2)cc1	
",CHEMBL3431937,-5.41,-5.522727396010933,0.11272739601093296
91,"c1c(cccc1Cl)N	
",CHEMBL905613,-4.15,-4.400487913897276,0.25048791389727576
92,"O(C[C](C[NH2+][C](C)C)O)c1ccc(CCOC)cc1	
",CHEMBL905613,-5.01,-4.574220597900268,-0.4357794020997314
93,"Cc1cc(C)cc(C(=O)N(NC(=O)c2c(C)c3c(OCCC3)cc2)C(C)(C)C)c1	
",CHEMBL905612,-4.78,-4.635802215437395,-0.14419778456260524
94,"C(=O)(c1c(Cl)cc(OCCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.06,-3.4163057628511426,0.35630576285114257
